Country,year,generation,media_consumption_men,media_consumption_women,religious_activity_men,religious_activity_women,financial_vulnerability_men,financial_vulnerability_women,mental_stress_men,mental_stress_women,loneliness_men,loneliness_women,education_men,education_women
Germany,2002,1,5.437056927505875,1.4879438193110865,5.109387344342425,3.964768192147786,5.3822263678751145,2.022017438615351,3.017372729852007,2.5550826338868653,5.794252882441366,3.674488927073987,2.0651017814943438,5.574778725778784
Germany,2002,2,1.9282155911660486,4.163415189401913,4.692637373604258,2.5221211124564604,5.266618778895875,3.868843684272732,3.909569190602767,3.568471943989395,2.9291345858982902,3.0803835930253234,2.4168112511714823,4.135181643799031
Germany,2002,3,1.8424214645461792,5.495689549325261,2.166413318615425,5.571836551218751,3.88126621243282,3.311685333729695,3.2875870533151588,4.504403789190307,5.875846106315489,4.565093302808835,2.0754877319143112,3.565918035844444
Germany,2002,4,3.105127146073677,3.383548749283434,4.254676774526512,1.9768934482839295,4.062312049388083,2.2636259686977303,5.4273179763609605,3.2733068323119996,1.663432542517382,5.302207214152629,2.5929773584361486,1.5602795004015575
Germany,2004,1,4.677122389840128,1.6409102968641671,5.797068806388653,3.777937713994798,4.846221952129551,5.206711249513711,5.39420556766637,5.887137380671426,2.9658803356666734,4.985558606263188,3.8123015604197388,4.095052547322827
Germany,2004,2,1.3572389874164494,4.991827580379692,5.0491229464177465,3.3955099681406864,3.721493743627831,5.596952068426786,1.8701898223863445,4.246600909013856,2.5499844799591376,1.2585008427368591,2.5994953388084636,3.2871229998075076
Germany,2004,3,1.2863859664734898,5.244557049227989,2.934920940838838,5.457637478528254,3.967612916958023,3.473709941915647,4.237723418623692,5.496860853159234,3.0642346933934252,2.966818091090458,2.228167344343948,2.224164681156765
Germany,2004,4,2.914137739484543,3.7980239791434767,2.0036090383485883,4.6695548808186675,2.1398487297381417,3.4087030597404055,2.6334031936731574,2.8143402845484333,5.6940085631791595,1.5655496337890826,1.5289893410029112,2.390600554463516
Germany,2006,1,3.5628953184275884,4.425476069962203,3.7773950390196918,3.4573882981127975,5.596009997322711,3.334915523500875,3.7798658851354925,1.7490771511509973,3.685850901495935,1.6368544540646197,4.478437619911836,4.566957310401478
Germany,2006,2,3.733284713632436,3.1112485724268533,3.0273951933267185,5.758955288854585,4.6457027916910985,5.238649463173817,4.012691776751126,4.444627320063173,4.674419527662336,1.4384380614486412,4.800402559527023,2.186550720844095
