year,generation,stress,media,internet,relig,social,finvul,ideological,trust
2002,1,4.65,2.41,3.79,2.68,4.24,4.55,3.07,3.57
2002,2,4.6,2.54,3.47,2.73,3.86,4.45,3.1,3.58
2002,3,4.43,2.65,2.92,2.94,3.64,4.43,3.17,3.59
2002,4,4.2,2.86,1.67,3.45,3.48,4.31,3.46,3.64
2004,1,4.59,2.37,4.2,2.63,4.22,4.36,3.15,3.44
2004,2,4.51,2.51,3.66,2.76,3.79,4.24,3.18,3.43
2004,3,4.32,2.62,3.1,2.91,3.6,4.22,3.23,3.41
2004,4,4.1,2.82,1.75,3.43,3.43,4.15,3.54,3.49
2006,1,4.6,2.31,4.62,2.54,4.28,4.43,3.13,3.39
2006,2,4.48,2.47,4.1,2.64,3.85,4.29,3.13,3.37
2006,3,4.31,2.58,3.47,2.83,3.68,4.25,3.2,3.38
2006,4,4.05,2.82,1.97,3.3,3.56,4.07,3.51,3.42
2008,1,4.58,2.27,4.89,2.7,4.21,3.81,3.24,3.33
2008,2,4.45,2.45,4.38,2.82,3.77,3.85,3.24,3.25
2008,3,4.23,2.58,3.66,2.9,3.56,3.84,3.28,3.25
2008,4,3.96,2.79,2.13,3.34,3.44,3.34,3.5,3.28
2010,1,4.67,2.19,5.49,2.55,4.26,3.8,3.16,3.31
2010,2,4.49,2.4,5.0,2.68,3.76,3.79,3.19,3.17
2010,3,4.27,2.54,4.15,2.84,3.57,3.78,3.25,3.21
2010,4,3.99,2.79,2.38,3.29,3.47,3.27,3.48,3.24
2012,1,4.67,2.75,,2.55,3.95,3.76,3.18,3.41
2012,2,4.51,2.94,,2.68,3.57,3.76,3.2,3.22
2012,3,4.31,3.21,,2.81,3.42,3.76,3.24,3.25
2012,4,4.09,3.72,,3.21,3.34,3.34,3.42,3.28
2014,1,4.76,2.57,,2.36,3.97,3.99,3.01,3.66
2014,2,4.66,2.81,,2.47,3.65,4.0,3.01,3.51
2014,3,4.48,3.07,,2.66,3.48,4.08,3.07,3.52
2014,4,4.27,3.67,,3.07,3.39,3.67,3.26,3.5
2016,1,4.75,,5.77,2.38,3.98,4.01,2.98,3.73
2016,2,4.67,,5.57,2.49,3.67,4.01,3.05,3.55
2016,3,4.49,,4.95,2.74,3.49,4.04,3.11,3.55
2016,4,4.28,,3.21,3.1,3.39,3.59,3.26,3.57
2018,1,4.79,,5.82,2.39,4.02,4.05,2.93,3.78
2018,2,4.73,,5.7,2.48,3.73,4.13,3.01,3.59
2018,3,4.51,,5.16,2.71,3.51,4.09,3.12,3.55
2018,4,4.25,,3.33,3.14,3.37,3.53,3.3,3.52
2020,1,4.53,,5.81,2.4,3.83,4.11,2.81,3.53
2020,2,4.59,,5.76,2.47,3.6,4.17,2.9,3.46
2020,3,4.45,,5.45,2.71,3.41,4.17,3.01,3.49
2020,4,4.22,,3.88,3.02,3.27,3.67,3.15,3.51
